units,dropout_rate,learning_rate,batch_size,epochs,RMSE
50,0.2,0.001,32,50,0.0026495450384731454
50,0.2,0.001,32,100,0.0021873904952175393
50,0.2,0.001,64,50,0.002220637877419361
50,0.2,0.001,64,100,0.0022839163925346627
50,0.2,0.01,32,50,0.002300544970262353
50,0.2,0.01,32,100,0.002257573535156637
50,0.2,0.01,64,50,0.004982993563126498
50,0.2,0.01,64,100,0.002899268100546423
50,0.3,0.001,32,50,0.0023942360748941006
50,0.3,0.001,32,100,0.0022007263990336395
50,0.3,0.001,64,50,0.0022081624093180734
50,0.3,0.001,64,100,0.002276157409670375
50,0.3,0.01,32,50,0.002448651072891984
50,0.3,0.01,32,100,0.0029677796108912996
50,0.3,0.01,64,50,0.00260792894012531
50,0.3,0.01,64,100,0.0023941843479212944
50,0.4,0.001,32,50,0.0021978521832745714
50,0.4,0.001,32,100,0.002194318663992463
50,0.4,0.001,64,50,0.002222878178233471
50,0.4,0.001,64,100,0.0025346039586430784
50,0.4,0.01,32,50,0.0036800151261227516
50,0.4,0.01,32,100,0.004024644582433004
50,0.4,0.01,64,50,0.0022426573067024355
50,0.4,0.01,64,100,0.0038316957274139325
100,0.2,0.001,32,50,0.00245664781591705
100,0.2,0.001,32,100,0.0022062826477075056
100,0.2,0.001,64,50,0.002244791105246889
100,0.2,0.001,64,100,0.0022352238334140003
100,0.2,0.01,32,50,0.002936917683640018
100,0.2,0.01,32,100,0.0022302193722164086
100,0.2,0.01,64,50,0.002240094367082792
100,0.2,0.01,64,100,0.0028681430798242627
100,0.3,0.001,32,50,0.0022894332899058493
100,0.3,0.001,32,100,0.002190785976058564
100,0.3,0.001,64,50,0.002244314479696822
100,0.3,0.001,64,100,0.0022036384740076877
100,0.3,0.01,32,50,0.002583119214168045
100,0.3,0.01,32,100,0.0022597954812844205
100,0.3,0.01,64,50,0.0022377238342613207
100,0.3,0.01,64,100,0.0022082394199455526
100,0.4,0.001,32,50,0.0022283156352420003
100,0.4,0.001,32,100,0.002493212592943632
100,0.4,0.001,64,50,0.0022276153234078613
100,0.4,0.001,64,100,0.002202763581319174
100,0.4,0.01,32,50,0.0038727512528201687
100,0.4,0.01,32,100,0.0025884264785410536
100,0.4,0.01,64,50,0.0023572764902044826
100,0.4,0.01,64,100,0.0022499014587010046
150,0.2,0.001,32,50,0.003114282818138079
150,0.2,0.001,32,100,0.0027435036482250335
150,0.2,0.001,64,50,0.0024570607637541568
150,0.2,0.001,64,100,0.0021893195541735355
150,0.2,0.01,32,50,0.002655580099819251
150,0.2,0.01,32,100,0.002383188202970808
150,0.2,0.01,64,50,0.0028920301995421275
150,0.2,0.01,64,100,0.002214825870925639
150,0.3,0.001,32,50,0.002550766755397155
150,0.3,0.001,32,100,0.0021889302047416984
150,0.3,0.001,64,50,0.0022044928271660372
150,0.3,0.001,64,100,0.002343201935453594
150,0.3,0.01,32,50,0.0023275656907733094
150,0.3,0.01,32,100,0.003308350245770185
150,0.3,0.01,64,50,0.0022551782817479505
150,0.3,0.01,64,100,0.002758932683865435
150,0.4,0.001,32,50,0.0023326481795267486
150,0.4,0.001,32,100,0.002253396776264567
150,0.4,0.001,64,50,0.00226667901495695
150,0.4,0.001,64,100,0.002278664124840835
150,0.4,0.01,32,50,0.002218019363007411
150,0.4,0.01,32,100,0.002747173911610715
150,0.4,0.01,64,50,0.002354120254149836
150,0.4,0.01,64,100,0.002695168074931954
